web-scraper-order,web-scraper-start-url,Film_name,Popularity_rank,IMDbscore,Metascore,Votes,Certificate,Run_time,Genre
1557261010-11301,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=1&ref_=adv_nxt",Avengers: Infinity War,1,8.5,68,647469,PG-12,149 min,"Action, Adventure, Sci-Fi"
1557261010-11302,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=1&ref_=adv_nxt",Aquaman,2,7.1,55,246474,PG-12,143 min,"Action, Adventure, Fantasy"
1557261010-11303,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=1&ref_=adv_nxt",Arctic,3,6.9,71,13690,PG-13,98 min,"Adventure, Drama"
1557261010-11304,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=1&ref_=adv_nxt",Spider-Man: Into the Spider-Verse,4,8.5,87,193017,GP,117 min,"Animation, Action, Adventure"
1557261010-11305,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=1&ref_=adv_nxt",Ant-Man and the Wasp,5,7.1,70,232696,GP,118 min,"Action, Adventure, Comedy"
1557261010-11306,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=1&ref_=adv_nxt",Black Panther,6,7.3,88,503847,PG-12,134 min,"Action, Adventure, Sci-Fi"
1557261010-11307,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=1&ref_=adv_nxt",High Life,7,6,75,7267,R,113 min,"Adventure, Drama, Mystery"
1557261010-11308,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=1&ref_=adv_nxt",Ophelia,8,6.9,65,463,PG-13,114 min,"Drama, Romance"
1557261010-11309,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=1&ref_=adv_nxt",BlacKkKlansman,9,7.5,83,140368,R,135 min,"Biography, Crime, Drama"
1557261010-11310,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=1&ref_=adv_nxt",Dragged Across Concrete,10,7.1,60,12847,R,159 min,"Action, Crime, Drama"
1557261010-11311,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=1&ref_=adv_nxt",Bohemian Rhapsody,11,8.1,49,332442,PG-12,134 min,"Biography, Drama, Music"
1557261010-11312,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=1&ref_=adv_nxt",Green Book,12,8.3,69,188450,PG-12,130 min,"Biography, Comedy, Drama"
1557261010-11313,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=1&ref_=adv_nxt",The Mule,13,7.1,58,50807,R-15,116 min,"Crime, Drama, Thriller"
1557261010-11314,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=1&ref_=adv_nxt",Suspiria,14,6.8,64,33764,R-18,152 min,"Fantasy, Horror, Mystery"
1557261010-11315,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=1&ref_=adv_nxt",Crazy Rich Asians,15,7,74,91806,PG-12,120 min,"Comedy, Romance"
1557261010-11316,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=1&ref_=adv_nxt",Deadpool 2,16,7.8,66,380826,R-15,119 min,"Action, Adventure, Comedy"
1557261010-11317,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=1&ref_=adv_nxt",A Star Is Born,17,7.8,88,239699,R-15,136 min,"Drama, Music, Romance"
1557261010-11318,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=1&ref_=adv_nxt",Mary Poppins Returns,18,6.9,66,48830,GP,130 min,"Comedy, Family, Fantasy"
1557261010-11319,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=1&ref_=adv_nxt",Bumblebee,19,6.9,66,87057,PG-12,114 min,"Action, Adventure, Sci-Fi"
1557261010-11320,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=1&ref_=adv_nxt",Destroyer,20,6.3,62,11366,R-15,121 min,"Action, Crime, Drama"
1557261010-11321,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=1&ref_=adv_nxt",Mortal Engines,21,6.1,44,65811,PG-12,128 min,"Action, Adventure, Fantasy"
1557261010-11322,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=1&ref_=adv_nxt",Venom,22,6.8,35,266728,R-12,112 min,"Action, Sci-Fi, Thriller"
1557261010-11323,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=1&ref_=adv_nxt",Fantastic Beasts: The Crimes of Grindelwald,23,6.7,52,157618,PG-12,134 min,"Adventure, Family, Fantasy"
1557261010-11324,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=1&ref_=adv_nxt",Solo: A Star Wars Story,24,7,62,220654,PG-12,135 min,"Action, Adventure, Fantasy"
1557261010-11325,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=1&ref_=adv_nxt",Ocean's 8,25,6.2,61,140540,R-12,110 min,"Action, Comedy, Crime"
1557261010-11326,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=1&ref_=adv_nxt",The Favourite,26,7.6,90,109562,R-12,119 min,"Biography, Drama, History"
1557261010-11327,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=1&ref_=adv_nxt",Mamma Mia! Here We Go Again,27,6.8,60,58256,PG-12,114 min,"Comedy, Musical, Romance"
1557261010-11328,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=1&ref_=adv_nxt",El Chicano,28,5.9,47,221,R,108 min,Drama
1557261010-11329,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=1&ref_=adv_nxt",Vice,29,7.2,61,66550,PG-12,132 min,"Biography, Comedy, Drama"
1557261010-11330,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=1&ref_=adv_nxt",Instant Family,30,7.4,57,42653,PG-12,118 min,"Comedy, Drama"
1557261010-11331,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=1&ref_=adv_nxt",Lykke-Per,31,7.3,null,1614,TV-14,162 min,Drama
1557261010-11332,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=1&ref_=adv_nxt",The Equalizer 2,32,6.7,50,94061,R-15,121 min,"Action, Crime, Thriller"
1557261010-11333,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=1&ref_=adv_nxt",A Quiet Place,33,7.6,82,297868,R-12,90 min,"Drama, Horror, Mystery"
1557261010-11334,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=1&ref_=adv_nxt",Ready Player One,34,7.5,64,296652,PG-13,140 min,"Action, Adventure, Sci-Fi"
1557261010-11335,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=1&ref_=adv_nxt",Jurassic World: Fallen Kingdom,35,6.2,51,214470,PG-12,128 min,"Action, Adventure, Sci-Fi"
1557261010-11336,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=1&ref_=adv_nxt",The Darkest Minds,36,5.7,39,20220,R-12,104 min,"Action, Adventure, Drama"
1557261010-11337,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=1&ref_=adv_nxt",Mid90s,37,7.4,66,20831,R,85 min,"Comedy, Drama"
1557261010-11338,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=1&ref_=adv_nxt",Hotel Mumbai,38,7.8,64,5438,R-15,123 min,"Drama, History, Thriller"
1557261010-11339,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=1&ref_=adv_nxt",Replicas,39,5.4,19,15349,PG-12,107 min,"Drama, Sci-Fi, Thriller"
1557261010-11340,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=1&ref_=adv_nxt",The Meg,40,5.7,46,108399,PG-12,113 min,"Action, Horror, Sci-Fi"
1557261010-11341,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=1&ref_=adv_nxt",Hereditary,41,7.3,87,146330,R-15,127 min,"Drama, Horror, Mystery"
1557261010-11342,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=1&ref_=adv_nxt",Goosebumps 2: Haunted Halloween,42,5.6,53,10643,PG-12,90 min,"Adventure, Comedy, Family"
1557261010-11343,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=1&ref_=adv_nxt",Under the Silver Lake,43,6.4,59,14586,R-15,139 min,"Comedy, Crime, Drama"
1557261010-11344,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=1&ref_=adv_nxt",Robin Hood,44,5.3,32,38945,PG-13,116 min,"Action, Adventure, Thriller"
1557261010-11345,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=1&ref_=adv_nxt",A Simple Favor,45,6.9,67,80522,R-12,117 min,"Comedy, Crime, Drama"
1557261010-11346,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=1&ref_=adv_nxt",Mission: Impossible - Fallout,46,7.8,86,228052,PG-12,147 min,"Action, Adventure, Thriller"
1557261010-11347,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=1&ref_=adv_nxt",Bad Times at the El Royale,47,7.1,60,80768,R-15,141 min,"Crime, Drama, Mystery"
1557261010-11348,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=1&ref_=adv_nxt",Tell It to the Bees,48,4.8,53,401,TV-MA,106 min,"Drama, Romance"
1557261010-11349,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=1&ref_=adv_nxt",Incredibles 2,49,7.7,80,198097,GP,118 min,"Animation, Action, Adventure"
1557261010-11350,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=1&ref_=adv_nxt",The Nun,50,5.4,46,86264,R-15,96 min,"Horror, Mystery, Thriller"
1557261008-11251,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=51&ref_=adv_nxt",Widows,51,7,84,58879,R-15,129 min,"Crime, Drama, Thriller"
1557261008-11252,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=51&ref_=adv_nxt",On the Basis of Sex,52,6.8,59,10665,GP,120 min,"Biography, Drama"
1557261008-11253,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=51&ref_=adv_nxt",Little Woods,53,5.8,74,441,R,105 min,"Crime, Drama, Western"
1557261008-11254,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=51&ref_=adv_nxt",Annihilation,54,6.9,79,224243,R,115 min,"Adventure, Drama, Horror"
1557261008-11255,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=51&ref_=adv_nxt",The Professor,55,8.1,null,385,R,90 min,"Comedy, Drama"
1557261008-11256,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=51&ref_=adv_nxt",Ralph Breaks the Internet,56,7.1,71,80895,GP,112 min,"Animation, Adventure, Comedy"
1557261008-11257,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=51&ref_=adv_nxt",Overlord,57,6.7,60,53076,R-18,110 min,"Action, Adventure, Horror"
1557261008-11258,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=51&ref_=adv_nxt",The Ballad of Buster Scruggs,58,7.3,79,84402,R,133 min,"Comedy, Drama, Musical"
1557261008-11259,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=51&ref_=adv_nxt",Bird Box,59,6.6,51,211341,R,124 min,"Drama, Horror, Sci-Fi"
1557261008-11260,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=51&ref_=adv_nxt",Welcome to Marwen,60,6,40,7638,R-12,116 min,"Biography, Comedy, Drama"
1557261008-11261,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=51&ref_=adv_nxt",Creed II,61,7.2,66,68456,PG-12,130 min,"Drama, Sport"
1557261008-11262,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=51&ref_=adv_nxt",Tag,62,6.6,56,81250,R-12,100 min,Comedy
1557261008-11263,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=51&ref_=adv_nxt",Overboard,63,5.9,42,24485,PG-13,112 min,"Comedy, Romance"
1557261008-11264,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=51&ref_=adv_nxt",The Sisters Brothers,64,7,78,29731,R,122 min,"Adventure, Comedy, Crime"
1557261008-11265,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=51&ref_=adv_nxt",Holmes & Watson,65,3.7,24,15930,R-12,90 min,"Adventure, Comedy, Crime"
1557261008-11266,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=51&ref_=adv_nxt",White Boy Rick,66,6.4,59,15078,R-15,111 min,"Crime, Drama"
1557261008-11267,"https://www.imdb.com/search/title?title_type=feature&year=2018-01-01,2018-12-31&start=51&ref_=adv_nxt",Tomb Raider,67,6.3,48,160819,PG-13,119 min,"Action, Adventure, Fantasy"
